state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Cullman County,Good Hope High Sch,No,total,433,7,2,2,28,0,0,394
ALABAMA,Cullman County,Hanceville High Sch,No,total,355,2,2,31,40,0,0,280
ALABAMA,Cullman County,Holly Pond High Sch,No,total,324,4,7,2,10,0,0,301
ALABAMA,Cullman County,Vinemont High Sch,No,total,322,2,2,0,19,2,2,295
ALABAMA,Cullman County,West Point High Sch,No,total,557,7,2,7,34,2,0,505
ALABAMA,Dale County,Ariton Sch,Yes,ap,4,0,0,2,0,0,0,2
ALABAMA,Dale County,Ariton Sch,Yes,total,681,4,4,64,37,0,10,562
ALABAMA,Dale County,Dale Co High Sch,No,total,462,0,2,121,7,0,10,322
ALABAMA,Dale County,George W Long High Sch,No,total,384,0,0,28,10,0,0,346
ALABAMA,Daleville City,Daleville High Sch,Yes,ap,48,2,2,10,0,0,0,34
ALABAMA,Daleville City,Daleville High Sch,Yes,total,460,4,7,163,61,4,7,214
ALABAMA,Dallas County,Dallas Co High Sch,Yes,ap,20,0,0,10,0,0,0,10
ALABAMA,Dallas County,Dallas Co High Sch,Yes,total,529,0,0,298,2,0,0,229
ALABAMA,Dallas County,Keith Middle-High Sch,No,total,322,0,0,316,4,0,0,2
ALABAMA,Dallas County,Southside High Sch,No,total,386,0,0,382,0,0,0,4
ALABAMA,Decatur City,Austin High Sch,Yes,ap,118,0,7,8,13,0,2,88
ALABAMA,Decatur City,Austin High Sch,Yes,total,1437,4,19,532,301,0,16,565
ALABAMA,Decatur City,Decatur High Dev,No,total,44,0,2,19,4,0,0,19
ALABAMA,Decatur City,Decatur High Sch,Yes,ap,121,0,4,13,7,0,0,97
ALABAMA,Decatur City,Decatur High Sch,Yes,total,979,10,13,301,184,4,10,457
ALABAMA,Dekalb County,Collinsville High Sch,No,total,908,88,0,43,499,0,13,265
ALABAMA,Dekalb County,Crossville High Sch,No,total,575,34,0,2,340,0,0,199
ALABAMA,Dekalb County,Fyffe High Sch,No,total,978,223,4,4,49,0,7,691
ALABAMA,Dekalb County,Geraldine High Sch,No,total,1215,250,4,7,226,0,7,721
ALABAMA,Dekalb County,Ider High Sch,No,total,752,124,0,0,13,0,2,613
ALABAMA,Dekalb County,Plainview High Sch,No,total,1186,166,2,13,139,0,7,859
ALABAMA,Dekalb County,Sylvania High Sch,No,total,956,169,2,2,130,0,4,649
ALABAMA,Dekalb County,Valley Head High Sch,No,total,481,43,0,5,145,0,2,286
ALABAMA,Demopolis City,Demopolis High Sch,Yes,ap,189,4,4,94,0,0,2,85
ALABAMA,Demopolis City,Demopolis High Sch,Yes,total,716,28,10,367,0,0,7,304
ALABAMA,"Developing Alabama Youth Foundation, (DAY) Inc.",Developing Alabama Youth Prog,No,total,116,0,2,31,13,0,0,70
ALABAMA,Dothan City,Dothan High School,Yes,ap,117,0,4,40,7,0,2,64
ALABAMA,Dothan City,Dothan High School,Yes,total,1132,2,7,697,49,0,10,367
ALABAMA,Dothan City,Northview High School,Yes,ap,235,0,10,37,0,0,4,184
ALABAMA,Dothan City,Northview High School,Yes,total,1269,5,22,667,49,2,13,511
ALABAMA,Elba City,Elba High Sch,Yes,ap,2,0,0,0,0,0,0,2
ALABAMA,Elba City,Elba High Sch,Yes,total,302,2,2,145,13,0,7,133
ALABAMA,Elmore County,Elmore Co High Sch,Yes,ap,85,0,0,4,0,0,2,79
ALABAMA,Elmore County,Elmore Co High Sch,Yes,total,468,2,0,61,4,0,7,394
ALABAMA,Elmore County,Elmore Co Tech Ctr,No,total,422,4,4,94,10,2,4,304
ALABAMA,Elmore County,ELMORE COUNTY ALTERNATIVE PROGRAMs,No,total,317,0,0,166,2,0,4,145
ALABAMA,Elmore County,Holtville High Sch,Yes,ap,57,0,0,2,0,0,0,55
ALABAMA,Elmore County,Holtville High Sch,Yes,total,478,2,4,52,10,4,0,406
ALABAMA,Elmore County,Stanhope Elmore High Sch,Yes,ap,151,2,10,43,4,0,4,88
ALABAMA,Elmore County,Stanhope Elmore High Sch,Yes,total,1101,4,16,454,49,0,19,559
ALABAMA,Elmore County,Wetumpka High Sch,Yes,ap,181,0,4,28,0,0,4,145
ALABAMA,Elmore County,Wetumpka High Sch,Yes,total,1152,4,7,334,31,0,22,754
ALABAMA,Enterprise City,Enterprise High Sch,Yes,ap,493,4,13,64,28,4,22,358
ALABAMA,Enterprise City,Enterprise High Sch,Yes,total,2590,22,52,532,199,10,91,1684
ALABAMA,Escambia County,Escambia Co Alt Sch,No,total,23,0,0,16,0,0,2,5
ALABAMA,Escambia County,Escambia Co High Sch,No,total,489,25,0,400,0,0,0,64
